Source_Name,z_best,Size,angular_size,L_144,Mass_median,flag_mass,fri,frii,hybrid,spiral,relaxed,cshaped,sshaped,misaligned,wings,xshaped,straight,multihotspots,continuous,banding,onesided,restarted,cluster,merger,diffuse,unknown,featurecount,hasanyone,hasanytwo,hasall,has_exactly_1,has_exactly_2,se,ms,em
ILTJ000005.31+205913.2,0.4323425,573.7686984543687,101.94990510895198,7.5656397068055315e+25,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000032.63+351901.7,0.2322629243135452,351.15084054859926,94.866341138139,2.3866357241060026e+25,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ000043.32+332603.9,0.252191424369812,571.0930131726453,145.12194555021645,1.5185212546069622e+25,11.396078109741213,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ000104.16+273449.7,0.5387991070747375,1221.0055035831144,192.4117795977032,1.2566138257155766e+27,11.447243690490724,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,4,True,True,True,False,False,True,True,True
ILTJ000107.24+340152.1,0.1825577,693.8004246969579,226.02396350281103,2.8196421598055657e+25,11.068277359008787,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000107.51+235248.4,0.4594371318817138,764.5226623540109,131.190836601574,1.4745018082996568e+27,11.5715913772583,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,5,True,True,True,False,False,True,True,True
ILTJ000142.39+260609.3,0.5275808,963.737804560012,153.5067925280258,2.2918299331108094e+26,11.313006401062012,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000153.37+282134.9,0.4051177,538.3532753475365,99.42716521020148,2.955482256372529e+26,11.203775405883787,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,False,False,False,False,False,False,False,False
ILTJ000205.34+334404.0,0.9296108,1308.1770751445822,166.39823981373874,4.107791143754534e+26,11.470185279846191,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000206.09+330354.6,0.9451834,1311.4291979845823,166.07290177261976,1.1085259746809822e+27,10.980276107788086,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
