filename,field,crop_index,p_low,p_high,source_count
J0225.9-4154_aFix_pol_I_Farcsec_5pln_cor_crop_0173.npy,J0225.9-4154_aFix_pol_I_Farcsec_5pln_cor,173,-1.4831659427727573e-05,3.976373773184605e-05,
J0540.1-4050_aFix_pol_I_Farcsec_5pln_cor_crop_0066.npy,J0540.1-4050_aFix_pol_I_Farcsec_5pln_cor,66,-1.9781218725256625e-05,3.538576129358262e-05,
J0637.3-4828_aFix_pol_I_Farcsec_5pln_cor_crop_0201.npy,J0637.3-4828_aFix_pol_I_Farcsec_5pln_cor,201,-1.5409788829856552e-05,3.9739050407661125e-05,
J0607.0-4928_aFix_pol_I_Farcsec_5pln_cor_crop_0202.npy,J0607.0-4928_aFix_pol_I_Farcsec_5pln_cor,202,-1.727664130157791e-05,3.109658064204268e-05,
Abell_3376copy_aFix_pol_I_Farcsec_5pln_cor_crop_0176.npy,Abell_3376copy_aFix_pol_I_Farcsec_5pln_cor,176,-1.6748330381233245e-05,4.895990059594624e-05,
J0510.2-4519_aFix_pol_I_Farcsec_5pln_cor_crop_0172.npy,J0510.2-4519_aFix_pol_I_Farcsec_5pln_cor,172,-1.650593003432732e-05,3.797405952354893e-05,
J0328.6-5542_aFix_pol_I_Farcsec_5pln_cor_crop_0193.npy,J0328.6-5542_aFix_pol_I_Farcsec_5pln_cor,193,-1.7376105461153202e-05,3.237917189835571e-05,
J1248.7-4118_aFix_pol_I_Farcsec_5pln_cor_crop_0081.npy,J1248.7-4118_aFix_pol_I_Farcsec_5pln_cor,81,-3.831612048088573e-05,5.340838833944872e-05,
J2340.1-8510_aFix_pol_I_Farcsec_5pln_cor_crop_0099.npy,J2340.1-8510_aFix_pol_I_Farcsec_5pln_cor,99,-1.53458950080676e-05,3.938611553166993e-05,
J2104.9-8243_aFix_pol_I_Farcsec_5pln_cor_crop_0045.npy,J2104.9-8243_aFix_pol_I_Farcsec_5pln_cor,45,-1.633186730032321e-05,3.551336703822017e-05,
J0757.7-5315_aFix_pol_I_Farcsec_5pln_cor_crop_0011.npy,J0757.7-5315_aFix_pol_I_Farcsec_5pln_cor,11,-1.5817182429600507e-05,3.550770634319633e-05,
